Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Month ID,Month,Occupancy Rate
1,Hotels,7,Tabouk,2022,202201,2022-01,0.3565149224480654
1,Hotels,7,Tabouk,2022,202202,2022-02,0.39624992582922924
1,Hotels,7,Tabouk,2022,202203,2022-03,0.43661071143085534
1,Hotels,7,Tabouk,2022,202204,2022-04,0.22558814050918466
1,Hotels,7,Tabouk,2022,202205,2022-05,0.39676132814377013
1,Hotels,7,Tabouk,2022,202206,2022-06,0.4007481655556088
1,Hotels,7,Tabouk,2022,202207,2022-07,0.4135709207252044
1,Hotels,7,Tabouk,2022,202208,2022-08,0.488962472406181
1,Hotels,7,Tabouk,2022,202209,2022-09,0.47911945613467144
1,Hotels,7,Tabouk,2022,202210,2022-10,0.563195474777448
1,Hotels,7,Tabouk,2022,202211,2022-11,0.6632894292468761
1,Hotels,7,Tabouk,2022,202212,2022-12,0.6050599201065247
1,Hotels,7,Tabouk,2023,202301,2023-01,0.5831917251570004
1,Hotels,7,Tabouk,2023,202302,2023-02,0.5919203333568754
1,Hotels,7,Tabouk,2023,202303,2023-03,0.7332413392403224
1,Hotels,7,Tabouk,2023,202304,2023-04,0.7034386183289248
1,Hotels,7,Tabouk,2023,202305,2023-05,0.8290959448902777
1,Hotels,7,Tabouk,2023,202306,2023-06,0.7894391603804526
1,Hotels,7,Tabouk,2023,202307,2023-07,0.7940207662012173
1,Hotels,7,Tabouk,2023,202308,2023-08,0.8210051223268976
1,Hotels,7,Tabouk,2023,202309,2023-09,0.7291101883943585
1,Hotels,7,Tabouk,2023,202310,2023-10,0.6602379610123728
1,Hotels,7,Tabouk,2023,202311,2023-11,0.5621359783172828
1,Hotels,7,Tabouk,2023,202312,2023-12,0.5305030503050305
1,Hotels,7,Tabouk,2024,202401,2024-01,0.4748894348894349
1,Hotels,7,Tabouk,2024,202402,2024-02,0.457679479468533
1,Hotels,7,Tabouk,2024,202403,2024-03,0.35919984056599075
1,Hotels,7,Tabouk,2024,202404,2024-04,0.3813569377536249
1,Hotels,7,Tabouk,2024,202405,2024-05,0.4794179590273789
1,Hotels,7,Tabouk,2024,202406,2024-06,0.41905798703839153
1,Hotels,7,Tabouk,2024,202407,2024-07,0.4816664454473055
1,Hotels,7,Tabouk,2024,202408,2024-08,0.4660649765370834
1,Hotels,7,Tabouk,2024,202409,2024-09,0.4833118898054946
