canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_003259,Hakimah,place,Riyadh,Riyadh,24.7989801,46.6662295,1,1,riyadh_places_kaggle,places_02923
RYD_003260,Hakka Wakka,place,Riyadh,Riyadh,24.80093078,46.78821404,1,1,riyadh_places_kaggle,places_04786
RYD_003261,Hakka Wakka,place,Riyadh,Riyadh,24.7121235,46.6980768,1,1,riyadh_places_kaggle,places_05548
RYD_003262,Haku,place,Riyadh,Riyadh,24.8223315,46.6496789,1,1,riyadh_places_kaggle,places_03315
RYD_003263,Hal Al keif,place,Riyadh,Riyadh,24.7070961,46.7069635,1,1,riyadh_places_kaggle,places_06810
RYD_003264,Hala,place,Riyadh,Riyadh,24.7389357,46.6466711,1,1,riyadh_places_kaggle,places_04440
RYD_003265,Hala,place,Riyadh,Riyadh,24.7116149,46.7878336,1,1,riyadh_places_kaggle,places_07634
RYD_003266,Hala Al Ward,place,Riyadh,Riyadh,24.71607791,46.791683,1,1,riyadh_places_kaggle,places_05942
RYD_003267,Hala Biryani,place,Riyadh,Riyadh,24.7875033,46.6819833,1,1,riyadh_places_kaggle,places_02990
RYD_003268,Hala Biryani,place,Riyadh,Riyadh,24.6929425,46.6955058,1,1,riyadh_places_kaggle,places_06819
RYD_003269,Hala Burger,place,Riyadh,Riyadh,24.772463,46.653668,1,1,riyadh_places_kaggle,places_03673
RYD_003270,Hala Burger,place,Riyadh,Riyadh,24.747759,46.775193,1,1,riyadh_places_kaggle,places_07247
RYD_003271,Hala Burger,place,Riyadh,Riyadh,24.5712346,46.653972,1,1,riyadh_places_kaggle,places_08717
RYD_003272,Hala Fal Sweets,place,Riyadh,Riyadh,24.619521,46.73046005,1,1,riyadh_places_kaggle,places_00120
RYD_003273,Hatlee Taste Pizza,place,Riyadh,Riyadh,24.7034908,46.8059951,2,1,riyadh_places_kaggle,places_06607|places_06609
RYD_003274,Hala Sabaya,place,Riyadh,Riyadh,24.78682475,46.77798435,1,1,riyadh_places_kaggle,places_04663
RYD_003275,Halabih,place,Riyadh,Riyadh,24.7878254,46.6850378,1,1,riyadh_places_kaggle,places_02954
RYD_003276,Halana Ghair,place,Riyadh,Riyadh,24.688684,46.647795,1,1,riyadh_places_kaggle,places_00494
RYD_003277,Halana Ghair,place,Riyadh,Riyadh,24.8068381,46.7576864,1,1,riyadh_places_kaggle,places_01553
RYD_003278,Halana Ghair,place,Riyadh,Riyadh,24.54556,46.651923,1,1,riyadh_places_kaggle,places_02278
RYD_003279,Halana Ghair,place,Riyadh,Riyadh,24.8195629,46.6428529,1,1,riyadh_places_kaggle,places_03467
RYD_003280,Halana Ghair,place,Riyadh,Riyadh,24.8077089,46.7371845,1,1,riyadh_places_kaggle,places_06509
RYD_003281,Halana Ghair,place,Riyadh,Riyadh,24.583295,46.76268,1,1,riyadh_places_kaggle,places_08043
RYD_003282,Halati Sweets,place,Riyadh,Riyadh,24.5635318,46.7908591,1,1,riyadh_places_kaggle,places_07827
RYD_003283,Halawiyati,place,Riyadh,Riyadh,24.85439617,46.65998678,1,1,riyadh_places_kaggle,places_03776
RYD_003284,Half Blaf Specialty Bukhari,place,Riyadh,Riyadh,24.8205365,46.6859225,1,1,riyadh_places_kaggle,places_05792
RYD_003285,Half Break,place,Riyadh,Riyadh,24.81819865,46.80364706,1,1,riyadh_places_kaggle,places_05099
RYD_003286,Half Million,place,Riyadh,Riyadh,24.691914,46.673625,1,1,riyadh_places_kaggle,places_00687
RYD_003287,Half Million,place,Riyadh,Riyadh,24.733146,46.648905,1,1,riyadh_places_kaggle,places_00984
RYD_003288,Half Million,place,Riyadh,Riyadh,24.583063,46.656269,1,1,riyadh_places_kaggle,places_02222
RYD_003289,Half Million,place,Riyadh,Riyadh,24.5468476,46.6654512,1,1,riyadh_places_kaggle,places_02329
RYD_003290,Half Million,place,Riyadh,Riyadh,24.803204,46.694464,1,1,riyadh_places_kaggle,places_02536
