canonical_id,source,source_entity_id,entity_type,name,city,region
RYD_004674,riyadh_places_kaggle,places_08757,place,Lolliva Chocolate,Riyadh,Riyadh
RYD_004674,riyadh_places_kaggle,places_08764,place,3K Chocolate,Riyadh,Riyadh
RYD_004674,riyadh_places_kaggle,places_08766,place,Maison de chocolate,Riyadh,Riyadh
RYD_004674,riyadh_places_kaggle,places_08775,place,Evra chocolate,Riyadh,Riyadh
RYD_004674,riyadh_places_kaggle,places_08783,place,Glamour Chocolate,Riyadh,Riyadh
RYD_004674,riyadh_places_kaggle,places_08784,place,Savour Chocolate,Riyadh,Riyadh
RYD_004675,riyadh_places_kaggle,places_00683,place,Lolo Ice Cream,Riyadh,Riyadh
RYD_004676,riyadh_places_kaggle,places_00963,place,Lolo Ice Cream,Riyadh,Riyadh
RYD_004677,riyadh_places_kaggle,places_06489,place,Lolo Ice Cream,Riyadh,Riyadh
RYD_004678,riyadh_places_kaggle,places_07079,place,Lolo'at Al Sauce,Riyadh,Riyadh
RYD_004679,riyadh_places_kaggle,places_03009,place,London Fish &amp; Chips,Riyadh,Riyadh
RYD_004680,riyadh_places_kaggle,places_03123,place,London Restaurant,Riyadh,Riyadh
RYD_004681,entertainment_kaggle,entertainment_00209,entertainment,Long Flag,Diriyah,Riyadh
RYD_004682,entertainment_kaggle,entertainment_00219,entertainment,Long Flag,Diriyah,Riyadh
RYD_004683,riyadh_places_kaggle,places_07236,place,Loodworld,Riyadh,Riyadh
RYD_004684,riyadh_places_kaggle,places_07774,place,Loqaimat Loqmat Almasaa,Riyadh,Riyadh
RYD_004685,riyadh_places_kaggle,places_05801,place,Loqaimat Qarmashah,Riyadh,Riyadh
RYD_004686,riyadh_places_kaggle,places_06646,place,Loqaymat Foton,Riyadh,Riyadh
RYD_004687,riyadh_places_kaggle,places_06277,place,Loqaymat Trwegah,Riyadh,Riyadh
RYD_004688,riyadh_places_kaggle,places_08023,place,Loqma baladi,Riyadh,Riyadh
RYD_004689,riyadh_places_kaggle,places_05809,place,Lora rose,Riyadh,Riyadh
RYD_004690,riyadh_places_kaggle,places_03730,place,Lorca Cafe,Riyadh,Riyadh
RYD_004691,riyadh_places_kaggle,places_00094,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004692,riyadh_places_kaggle,places_00350,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004693,riyadh_places_kaggle,places_00406,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004694,riyadh_places_kaggle,places_00552,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004695,riyadh_places_kaggle,places_00709,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004696,riyadh_places_kaggle,places_00931,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004697,riyadh_places_kaggle,places_01018,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004698,riyadh_places_kaggle,places_01304,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004699,riyadh_places_kaggle,places_01940,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004700,riyadh_places_kaggle,places_02309,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004701,riyadh_places_kaggle,places_02535,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004702,riyadh_places_kaggle,places_03097,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004703,riyadh_places_kaggle,places_05327,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004704,riyadh_places_kaggle,places_06437,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004705,riyadh_places_kaggle,places_07217,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004706,riyadh_places_kaggle,places_07890,place,Lorenzo Pizza,Riyadh,Riyadh
RYD_004707,riyadh_places_kaggle,places_01552,place,Los Primos,Riyadh,Riyadh
RYD_004708,riyadh_places_kaggle,places_02810,place,Losh Burger,Riyadh,Riyadh
RYD_004709,riyadh_places_kaggle,places_01431,place,Lotta,Riyadh,Riyadh
RYD_004710,riyadh_places_kaggle,places_02434,place,Lotta,Riyadh,Riyadh
RYD_004711,riyadh_places_kaggle,places_02590,place,Lotta,Riyadh,Riyadh
RYD_004712,riyadh_places_kaggle,places_07499,place,Lotta,Riyadh,Riyadh
RYD_004713,riyadh_places_kaggle,places_05138,place,Lotus Konafa,Riyadh,Riyadh
RYD_004713,riyadh_places_kaggle,places_05148,place,Konafa Al Reem,Riyadh,Riyadh
RYD_004714,riyadh_places_kaggle,places_04170,place,Lovely Memory,Riyadh,Riyadh
RYD_004715,riyadh_places_kaggle,places_01512,place,Low Calories,Riyadh,Riyadh
RYD_004716,riyadh_places_kaggle,places_07100,place,Low Calories,Riyadh,Riyadh
RYD_004717,riyadh_places_kaggle,places_07848,place,Low Calories,Riyadh,Riyadh
RYD_004718,riyadh_places_kaggle,places_08665,place,Low Calories,Riyadh,Riyadh
RYD_004719,riyadh_places_kaggle,places_02839,place,Low Key,Riyadh,Riyadh
RYD_004720,riyadh_places_kaggle,places_06278,place,Lqymat Jenan,Riyadh,Riyadh
RYD_004721,riyadh_places_kaggle,places_07813,place,Lqymat alasria,Riyadh,Riyadh
